TSS;COD;BOD;nitrate;TN;ammonia;phosphate;TP
61;35.2842;40.698;17.4;8.152;34.4586;13.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;14.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;15.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;16.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;17.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;18.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;19.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;20.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;21.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;22.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;23.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;24.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;25.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;26.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;27.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;28.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;29.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;30.32;4.88
;;;;;;;
61;35.2842;40.698;17.4;8.152;34.4586;31.32;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;2.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;3.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;4.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;5.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;6.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;7.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;8.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;9.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;10.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;11.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;12.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;13.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;14.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;15.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;16.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;17.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;18.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;19.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;20.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;21.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;22.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;23.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;24.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;25.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;26.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;27.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;28.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;29.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;30.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;31.37;4.88
;;;;;;;
39;33.7162;44.46;52.954;21.14;34.4586;32.37;4.88
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
30.93;19.2696;21.726;12.702;6.924;19.701;2.93;4.41
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
44.75;29.6828;41.7564;4.64;9.348;18.084;3.15;3.14
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;0.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;1.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;2.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;3.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;4.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;5.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;6.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;7.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;8.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;9.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;10.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;11.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;12.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;13.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;14.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;15.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;16.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;17.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;18.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;19.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;20.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;21.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;22.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;23.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;24.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;25.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;26.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;27.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;28.86;4.88
;;;;;;;
10;10.0828;8.64;16.82;13.036;34.4586;29.86;4.88
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
29;27.8908;16.4448;9.28;18.84;27.918;2.99;5.64
;;;;;;;
