untreated volume,TSS in rajakaluve,COD in rajakaluve,BOD in rajakaluve,TSS in STPs effluent,COD in STPs effluent,BOD in STPs effluent,TSS in lake inflow,COD in lake inflow,BOD in lake inflow
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.13222164122436,65.23640517488231,42.07367084722157,nan,nan,nan,nan,nan,nan
4633966.08,30.198231652165806,65.35442752006041,42.1104501020102,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.395859674198977,65.70777578194684,42.22056387524042,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,30.066144458030642,65.11826272933412,42.03685416560411,nan,nan,nan,nan,nan,nan
4633966.08,30.0,65.0,42.0,nan,nan,nan,nan,nan,nan
4633966.08,35.053125293023086,74.03471593256334,44.81548480268878,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,335.90528698571086,342.0610767125631,192.91682503289942,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,328.4343742987377,340.1656677102505,189.58352099066164,nan,nan,nan,nan,nan,nan
4633966.08,337.429771505335,342.4478462818849,193.59700570486106,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,334.1370584433888,341.6124680301048,192.12789286427702,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,337.6997779027444,342.516348294661,193.71747470960318,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,336.95178065907766,342.3265775439168,193.38374008568707,nan,nan,nan,nan,nan,nan
4633966.08,338.333,342.677,194.0,nan,nan,nan,nan,nan,nan
4633966.08,333.87776238044955,341.5466832843112,192.01220249939846,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,269.3175698316855,428.7471660569481,148.7178416619078,nan,nan,nan,nan,nan,nan
4633966.08,274.3017590796728,434.7342608631826,150.28101343240485,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,274.7663070906033,435.2922840130081,150.42670780727641,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,274.7663070906033,435.2922840130081,150.42670780727641,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,274.88303470199384,435.4324992498558,150.4633166312766,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,275.0,435.573,150.5,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
4633966.08,540.0,421.687,205.0,nan,nan,nan,nan,nan,nan
