Date;TSS;BOD;COD;NO3-N;Nitrate;NH4-N;TN;PO4-P;TP
14-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
15-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
16-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
17-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
18-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
19-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
20-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
21-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
22-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
23-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
24-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
25-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
26-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
27-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
28-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
29-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
30-sept.;54;24.31;106.8333333;2.941287879;12.92833333;1.486666667;6.45;2.076666667;2.665
1-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
2-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
3-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
4-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
5-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
6-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
7-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
8-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
9-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
10-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
11-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
12-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
13-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
14-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
15-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
16-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
17-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
18-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
19-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
20-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
21-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
22-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
23-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
24-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
25-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
26-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
27-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
28-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
29-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
30-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
31-oct.;61.66666667;23.025;86.80244701;2.572159091;12.085;1.9385;6.5;1.044582893;1.48
