,,,index,rain,prun,uprun
2015,7,17,1816752,2.0,0.0,0.0
2015,7,18,1825968,2.5,0.0,0.0
2015,7,19,1816020,8.5,4.5,0.75
2015,7,20,1844304,7.0,2.25,0.0
2015,7,21,1853520,0.5,0.0,0.0
2015,7,22,1843285,1.5,0.0,0.0
2015,7,23,1852310,0.0,0.0,0.0
2015,7,24,1861335,0.0,0.0,0.0
2015,7,25,1890096,27.5,15.375,7.875
2015,7,26,1899312,7.0,3.0,0.0
2015,7,27,1908528,0.0,0.0,0.0
2015,7,28,1897720,0.0,0.0,0.0
2015,7,29,1906745,0.0,0.0,0.0
2015,7,30,1935984,0.0,0.0,0.0
2015,7,31,1904581,0.0,0.0,0.0
2015,8,1,68976,0.0,0.0,0.0
2015,8,2,353904,0.0,0.0,0.0
2015,8,3,611376,0.0,0.0,0.0
2015,8,4,897072,0.0,0.0,0.0
2015,8,5,1173360,0.0,0.0,0.0
2015,8,6,1458480,0.0,0.0,0.0
2015,8,7,1716175,0.0,0.0,0.0
2015,8,8,2018544,0.0,0.0,0.0
2015,8,9,2302992,1.5,0.0,0.0
2015,8,10,2578704,0.0,0.0,0.0
2015,8,11,2863824,0.0,0.0,0.0
2015,8,12,3139920,0.0,0.0,0.0
2015,8,13,2064624,4.5,0.375,0.0
2015,8,14,2073840,0.0,0.0,0.0
2015,8,15,2083056,0.0,0.0,0.0
2015,8,16,2092272,0.0,0.0,0.0
2015,8,17,2079550,6.5,0.0,0.0
2015,8,18,2088575,0.0,0.0,0.0
2015,8,19,2097600,0.0,0.0,0.0
2015,8,20,2128848,2.0,0.0,0.0
2015,8,21,2115745,9.5,1.125,0.0
2015,8,22,2124770,0.0,0.0,0.0
2015,8,23,2156304,0.0,0.0,0.0
2015,8,24,2165520,0.0,0.0,0.0
2015,8,25,2174736,0.0,0.0,0.0
2015,8,26,2161155,1.5,0.0,0.0
2015,8,27,2193072,3.5,0.0,0.0
2015,8,28,2202288,0.0,0.0,0.0
2015,8,29,2188420,0.0,0.0,0.0
2015,8,30,2220624,1.0,0.0,0.0
2015,8,31,2229840,0.0,0.0,0.0
2015,9,1,78192,0.0,0.0,0.0
2015,9,2,363120,0.0,0.0,0.0
2015,9,3,620592,0.0,0.0,0.0
2015,9,4,906288,0.0,0.0,0.0
2015,9,5,1182576,0.0,0.0,0.0
2015,9,6,1467696,8.0,0.75,0.0
2015,9,7,1743408,1.0,0.0,0.0
2015,9,8,2027760,9.0,3.375,0.0
2015,9,9,2312208,0.0,0.0,0.0
2015,9,10,2587920,0.0,0.0,0.0
2015,9,11,2873040,28.0,0.75,0.0
2015,9,12,3116285,0.0,0.0,0.0
2015,9,13,2349072,1.5,0.0,0.0
2015,9,14,2358288,0.0,0.0,0.0
2015,9,15,2367504,0.0,0.0,0.0
2015,9,16,2376720,0.0,0.0,0.0
2015,9,17,2361035,0.0,0.0,0.0
2015,9,18,2395056,0.0,0.0,0.0
2015,9,19,2404272,0.0,0.0,0.0
2015,9,20,2413488,2.0,0.0,0.0
2015,9,21,2422704,0.0,0.0,0.0
2015,9,22,2431920,0.0,0.0,0.0
2015,9,23,2441136,0.0,0.0,0.0
2015,9,24,2424780,8.5,4.125,0.375
2015,9,25,2433805,2.0,0.0,0.0
2015,9,26,2468592,12.5,0.75,0.0
2015,9,27,2451950,70.5,38.25,20.25
2015,9,28,2486928,19.0,3.0,0.0
2015,9,29,2470095,0.0,0.0,0.0
2015,9,30,2505264,0.0,0.0,0.0
2015,10,1,87408,0.0,0.0,0.0
2015,10,2,372336,0.0,0.0,0.0
2015,10,3,629808,0.0,0.0,0.0
2015,10,4,915504,0.0,0.0,0.0
2015,10,5,1191792,0.0,0.0,0.0
2015,10,6,1476912,0.0,0.0,0.0
2015,10,7,1734320,1.0,0.0,0.0
2015,10,8,2036976,0.0,0.0,0.0
2015,10,9,2321424,2.5,0.0,0.0
2015,10,10,2597136,0.0,0.0,0.0
2015,10,11,2882256,36.5,2.25,0.0
2015,10,12,3158256,0.0,0.0,0.0
2015,10,13,2624784,0.0,0.0,0.0
2015,10,14,2634000,0.0,0.0,0.0
2015,10,15,2643216,0.0,0.0,0.0
2015,10,16,2624755,0.0,0.0,0.0
2015,10,17,2633780,0.0,0.0,0.0
2015,10,18,2670672,0.0,0.0,0.0
2015,10,19,2679888,0.0,0.0,0.0
2015,10,20,2689104,0.0,0.0,0.0
2015,10,21,2698320,0.0,0.0,0.0
2015,10,22,2707536,0.0,0.0,0.0
2015,10,23,2716752,0.0,0.0,0.0
2015,10,24,2725968,0.0,0.0,0.0
2015,10,25,2735184,0.0,0.0,0.0
2015,10,26,2744400,0.0,0.0,0.0
2015,10,27,2753616,0.0,0.0,0.0
2015,10,28,2734005,1.0,0.0,0.0
2015,10,29,2771952,0.5,0.0,0.0
2015,10,30,2781168,0.0,0.0,0.0
2015,10,31,2761270,0.0,0.0,0.0
2015,11,1,95570,0.0,0.0,0.0
2015,11,2,381552,0.0,0.0,0.0
2015,11,3,639024,0.0,0.0,0.0
2015,11,4,924720,8.5,0.0,0.0
2015,11,5,1188450,0.0,0.0,0.0
2015,11,6,1486128,1.5,0.0,0.0
2015,11,7,1743345,0.0,0.0,0.0
2015,11,8,2046192,0.5,0.0,0.0
2015,11,9,2330640,0.5,0.0,0.0
2015,11,10,2606352,0.0,0.0,0.0
2015,11,11,2891472,5.0,0.0,0.0
2015,11,12,3167472,0.0,0.0,0.0
2015,11,13,2909904,0.0,0.0,0.0
2015,11,14,2919120,0.0,0.0,0.0
2015,11,15,2928336,6.0,0.0,0.0
2015,11,16,2937552,9.5,0.0,0.0
2015,11,17,2946768,12.5,0.0,0.0
2015,11,18,2955984,3.0,0.0,0.0
2015,11,19,2934265,3.5,0.0,0.0
2015,11,20,2943290,2.0,0.0,0.0
2015,11,21,2983440,5.0,0.0,0.0
2015,11,22,2992656,5.0,0.375,0.0
2015,11,23,3001872,6.5,0.0,0.0
2015,11,24,3011088,1.5,0.0,0.0
2015,11,25,3020304,0.0,0.0,0.0
2015,11,26,2997915,0.0,0.0,0.0
2015,11,27,3038640,0.0,0.0,0.0
2015,11,28,3047856,0.0,0.0,0.0
2015,11,29,3057072,1.0,0.0,0.0
2015,11,30,3066288,7.5,1.5,0.0
2015,12,1,105744,0.0,0.0,0.0
2015,12,2,390768,0.0,0.0,0.0
2015,12,3,648240,0.0,0.0,0.0
2015,12,4,933936,10.0,1.875,0.0
2015,12,5,1210128,9.5,2.625,0.0
2015,12,6,1495344,5.5,0.0,0.0
2015,12,7,1752370,0.0,0.0,0.0
2015,12,8,2055408,3.5,0.0,0.0
2015,12,9,2339856,0.0,0.0,0.0
2015,12,10,2615568,0.0,0.0,0.0
2015,12,11,2900688,21.5,7.125,0.75
2015,12,12,3143550,0.0,0.0,0.0
2015,12,13,3185808,0.0,0.0,0.0
2015,12,14,3195024,0.0,0.0,0.0
2015,12,15,3204240,0.0,0.0,0.0
2015,12,16,3213456,0.0,0.0,0.0
2015,12,17,3222672,0.0,0.0,0.0
2015,12,18,3231888,0.0,0.0,0.0
2015,12,19,3241104,0.0,0.0,0.0
2015,12,20,3250320,0.0,0.0,0.0
2015,12,21,3259536,0.0,0.0,0.0
2015,12,22,3268752,0.0,0.0,0.0
2015,12,23,3277968,0.0,0.0,0.0
2015,12,24,3287184,0.0,0.0,0.0
2015,12,25,3262015,0.0,0.0,0.0
2015,12,26,3305520,0.0,0.0,0.0
2015,12,27,3314736,0.0,0.0,0.0
2015,12,28,3289280,0.0,0.0,0.0
2015,12,29,3333072,0.0,0.0,0.0
2015,12,30,3342288,0.0,0.0,0.0
2015,12,31,3351504,0.0,0.0,0.0
